板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
主板,平安银行股份有限公司,000001,平安银行,1991-04-03,J 金融业
主板,万科企业股份有限公司,000002,万  科Ａ,1991-01-29,K 房地产
主板,深圳国华网安科技股份有限公司,000004,国华网安,1990-12-01,I 信息技术
主板,深圳世纪星源股份有限公司,000005,世纪星源,1990-12-10,N 公共环保
主板,深圳市振业(集团)股份有限公司,000006,深振业Ａ,1992-04-27,K 房地产
主板,深圳市全新好股份有限公司,000007,全新好,1992-04-13,K 房地产
主板,神州高铁技术股份有限公司,000008,神州高铁,1992-05-07,C 制造业
主板,中国宝安集团股份有限公司,000009,中国宝安,1991-06-25,S 综合
主板,深圳美丽生态股份有限公司,000010,美丽生态,1995-10-27,E 建筑业
主板,深圳市物业发展(集团)股份有限公司,000011,深物业A,1992-03-30,K 房地产
主板,中国南玻集团股份有限公司,000012,南  玻Ａ,1992-02-28,C 制造业
主板,沙河实业股份有限公司,000014,沙河股份,1992-06-02,K 房地产
主板,康佳集团股份有限公司,000016,深康佳Ａ,1992-03-27,C 制造业
主板,深圳中华自行车(集团)股份有限公司,000017,*ST中华A,1992-03-31,C 制造业
主板,深圳市深粮控股股份有限公司,000019,深粮控股,1992-10-12,F 批发零售
主板,深圳中恒华发股份有限公司,000020,深华发Ａ,1992-04-28,C 制造业
主板,深圳长城开发科技股份有限公司,000021,深科技,1994-02-02,C 制造业
主板,深圳市天地(集团)股份有限公司,000023,深天地Ａ,1993-04-29,C 制造业
主板,深圳市特力(集团)股份有限公司,000025,特  力Ａ,1993-06-21,F 批发零售
主板,飞亚达精密科技股份有限公司,000026,飞亚达,1993-06-03,F 批发零售
主板,深圳能源集团股份有限公司,000027,深圳能源,1993-09-03,D 水电煤气
主板,国药集团一致药业股份有限公司,000028,国药一致,1993-08-09,F 批发零售
主板,深圳经济特区房地产(集团)股份有限公司,000029,深深房Ａ,1993-09-15,K 房地产
主板,富奥汽车零部件股份有限公司,000030,富奥股份,1993-09-29,C 制造业
主板,大悦城控股集团股份有限公司,000031,大悦城,1993-10-08,K 房地产
主板,深圳市桑达实业股份有限公司,000032,深桑达Ａ,1993-10-28,F 批发零售
主板,神州数码集团股份有限公司,000034,神州数码,1994-05-09,F 批发零售
主板,中国天楹股份有限公司,000035,中国天楹,1994-04-08,N 公共环保
主板,华联控股股份有限公司,000036,华联控股,1994-06-17,K 房地产
主板,深圳南山热电股份有限公司,000037,深南电A,1994-07-01,D 水电煤气
主板,深圳大通实业股份有限公司,000038,深大通,1994-08-08,L 商务服务
主板,中国国际海运集装箱(集团)股份有限公司,000039,中集集团,1994-04-08,C 制造业
主板,东旭蓝天新能源股份有限公司,000040,东旭蓝天,1994-08-08,D 水电煤气
主板,深圳市中洲投资控股股份有限公司,000042,中洲控股,1994-09-21,K 房地产
主板,深圳市纺织(集团)股份有限公司,000045,深纺织Ａ,1994-08-15,C 制造业
主板,泛海控股股份有限公司,000046,泛海控股,1994-09-12,J 金融业
主板,深圳市京基智农时代股份有限公司,000048,京基智农,1994-11-01,C 制造业
主板,深圳市德赛电池科技股份有限公司,000049,德赛电池,1995-03-20,C 制造业
主板,天马微电子股份有限公司,000050,深天马Ａ,1995-03-15,C 制造业
主板,方大集团股份有限公司,000055,方大集团,1996-04-15,C 制造业
主板,深圳市皇庭国际企业股份有限公司,000056,皇庭国际,1996-07-08,L 商务服务
主板,深圳赛格股份有限公司,000058,深 赛 格,1996-12-26,L 商务服务
主板,北方华锦化学工业股份有限公司,000059,华锦股份,1997-01-30,C 制造业
主板,深圳市中金岭南有色金属股份有限公司,000060,中金岭南,1997-01-23,C 制造业
主板,深圳市农产品集团股份有限公司,000061,农 产 品,1997-01-10,L 商务服务
主板,深圳华强实业股份有限公司,000062,深圳华强,1997-01-30,F 批发零售
主板,中兴通讯股份有限公司,000063,中兴通讯,1997-11-18,C 制造业
主板,北方国际合作股份有限公司,000065,北方国际,1998-06-05,E 建筑业
主板,中国长城科技集团股份有限公司,000066,中国长城,1997-06-26,C 制造业
主板,深圳华控赛格股份有限公司,000068,华控赛格,1997-06-11,M 科研服务
主板,深圳华侨城股份有限公司,000069,华侨城Ａ,1997-09-10,K 房地产
主板,深圳市特发信息股份有限公司,000070,特发信息,2000-05-11,C 制造业
主板,深圳市海王生物工程股份有限公司,000078,海王生物,1998-12-18,F 批发零售
主板,深圳市盐田港股份有限公司,000088,盐 田 港,1997-07-28,G 运输仓储
主板,深圳市机场股份有限公司,000089,深圳机场,1998-04-20,G 运输仓储
主板,深圳市天健(集团)股份有限公司,000090,天健集团,1999-07-21,E 建筑业
主板,深圳市广聚能源股份有限公司,000096,广聚能源,2000-07-24,F 批发零售
主板,中信海洋直升机股份有限公司,000099,中信海直,2000-07-31,G 运输仓储
主板,TCL科技集团股份有限公司,000100,TCL科技,2004-01-30,C 制造业
主板,宜华健康医疗股份有限公司,000150,宜华健康,2000-08-07,Q 卫生
主板,中成进出口股份有限公司,000151,中成股份,2000-09-06,F 批发零售
主板,安徽丰原药业股份有限公司,000153,丰原药业,2000-09-20,C 制造业
主板,四川省新能源动力股份有限公司,000155,川能动力,2000-09-26,D 水电煤气
主板,华数传媒控股股份有限公司,000156,华数传媒,2000-09-06,R 文化传播
主板,中联重科股份有限公司,000157,中联重科,2000-10-12,C 制造业
主板,石家庄常山北明科技股份有限公司,000158,常山北明,2000-07-24,I 信息技术
主板,新疆国际实业股份有限公司,000159,国际实业,2000-09-26,F 批发零售
主板,申万宏源集团股份有限公司,000166,申万宏源,2015-01-26,J 金融业
主板,江苏东方盛虹股份有限公司,000301,东方盛虹,2000-05-29,C 制造业
主板,美的集团股份有限公司,000333,美的集团,2013-09-18,C 制造业
主板,潍柴动力股份有限公司,000338,潍柴动力,2007-04-30,C 制造业
主板,许继电气股份有限公司,000400,许继电气,1997-04-18,C 制造业
主板,唐山冀东水泥股份有限公司,000401,冀东水泥,1996-06-14,C 制造业
主板,金融街控股股份有限公司,000402,金 融 街,1996-06-26,K 房地产
主板,南方双林生物制药股份有限公司,000403,双林生物,1996-06-28,C 制造业
主板,长虹华意压缩机股份有限公司,000404,长虹华意,1996-06-19,C 制造业
主板,山东胜利股份有限公司,000407,胜利股份,1996-07-03,D 水电煤气
主板,藏格控股股份有限公司,000408,*ST藏格,1996-06-28,C 制造业
主板,山东地矿股份有限公司,000409,ST地矿,1996-06-27,S 综合
主板,沈阳机床股份有限公司,000410,*ST沈机,1996-07-18,C 制造业
主板,浙江英特集团股份有限公司,000411,英特集团,1996-07-16,F 批发零售
主板,东旭光电科技股份有限公司,000413,东旭光电,1996-09-25,C 制造业
主板,渤海租赁股份有限公司,000415,渤海租赁,1996-07-16,L 商务服务
主板,民生控股股份有限公司,000416,民生控股,1996-07-19,J 金融业
主板,合肥百货大楼集团股份有限公司,000417,合肥百货,1996-08-12,F 批发零售
主板,长沙通程控股股份有限公司,000419,通程控股,1996-08-16,F 批发零售
主板,吉林化纤股份有限公司,000420,吉林化纤,1996-08-02,C 制造业
主板,南京公用发展股份有限公司,000421,南京公用,1996-08-06,D 水电煤气
主板,湖北宜化化工股份有限公司,000422,ST宜化,1996-08-15,C 制造业
主板,东阿阿胶股份有限公司,000423,东阿阿胶,1996-07-29,C 制造业
主板,徐工集团工程机械股份有限公司,000425,徐工机械,1996-08-28,C 制造业
主板,内蒙古兴业矿业股份有限公司,000426,兴业矿业,1996-08-28,B 采矿业
主板,华天酒店集团股份有限公司,000428,华天酒店,1996-08-08,H 住宿餐饮
主板,广东省高速公路发展股份有限公司,000429,粤高速Ａ,1998-02-20,G 运输仓储
主板,张家界旅游集团股份有限公司,000430,张家界,1996-08-29,N 公共环保
主板,山东晨鸣纸业集团股份有限公司,000488,晨鸣纸业,2000-11-20,C 制造业
主板,山东高速路桥集团股份有限公司,000498,山东路桥,1997-06-09,E 建筑业
主板,武汉武商集团股份有限公司,000501,鄂武商Ａ,1992-11-20,F 批发零售
主板,绿景控股股份有限公司,000502,绿景控股,1992-11-23,K 房地产
主板,国新健康保障服务集团股份有限公司,000503,国新健康,1992-11-30,I 信息技术
主板,南华生物医药股份有限公司,000504,ST生物,1992-12-08,M 科研服务
主板,海南京粮控股股份有限公司,000505,京粮控股,1992-12-21,C 制造业
主板,中润资源投资股份有限公司,000506,中润资源,1993-03-12,B 采矿业
主板,珠海港股份有限公司,000507,珠海港,1993-03-26,G 运输仓储
主板,华塑控股股份有限公司,000509,*ST华塑,1993-05-07,C 制造业
主板,四川新金路集团股份有限公司,000510,新金路,1993-05-07,C 制造业
主板,丽珠医药集团股份有限公司,000513,丽珠集团,1993-10-28,C 制造业
主板,重庆渝开发股份有限公司,000514,渝 开 发,1993-07-12,K 房地产
主板,西安国际医学投资股份有限公司,000516,国际医学,1993-08-09,Q 卫生
主板,荣安地产股份有限公司,000517,荣安地产,1993-08-06,K 房地产
主板,江苏四环生物股份有限公司,000518,四环生物,1993-09-08,C 制造业
主板,中兵红箭股份有限公司,000519,中兵红箭,1993-10-08,C 制造业
